2024-08-26 22:20:41,270 - DEBUG  - 15.58: Job 23 is being processed at the workstation s2-1.
2024-08-26 22:20:41,278 - DEBUG  - 18.06: Job 23 is being processed at the workstation s3-1.
2024-08-26 22:20:41,280 - DEBUG  - 18.52: Job 23 finished at workstation s3-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,263 - DEBUG  - 14.02: Job 24 is released with routing: ['s5-2', 's1-1'], process_times: [1.581 0.966]
2024-08-26 22:20:41,267 - DEBUG  - 15.02: Job 24 is being processed at the workstation s5-2.
2024-08-26 22:20:41,298 - DEBUG  - 22.75: Job 24 is being processed at the workstation s1-1.
2024-08-26 22:20:41,300 - DEBUG  - 23.72: Job 24 finished at workstation s1-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,302 - DEBUG  - 24.00: Job 25 is released with routing: ['s1-1', 's5-1', 's4-1', 's3-1'], process_times: [1.272 0.849 1.426 1.437]
2024-08-26 22:20:41,306 - DEBUG  - 24.69: Job 25 is being processed at the workstation s1-1.
2024-08-26 22:20:41,308 - DEBUG  - 26.35: Job 25 is being processed at the workstation s5-1.
2024-08-26 22:20:41,313 - DEBUG  - 27.99: Job 25 is being processed at the workstation s4-1.
2024-08-26 22:20:41,318 - DEBUG  - 29.54: Job 25 is being processed at the workstation s3-1.
2024-08-26 22:20:41,320 - DEBUG  - 30.98: Job 25 finished at workstation s3-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,269 - DEBUG  - 15.43: Job 26 is released with routing: ['s3-1', 's2-1', 's5-2'], process_times: [1.629 0.812 1.03 ]
2024-08-26 22:20:41,274 - DEBUG  - 16.43: Job 26 is being processed at the workstation s3-1.
2024-08-26 22:20:41,285 - DEBUG  - 19.64: Job 26 is being processed at the workstation s2-1.
2024-08-26 22:20:41,289 - DEBUG  - 20.93: Job 26 is being processed at the workstation s5-2.
2024-08-26 22:20:41,293 - DEBUG  - 21.96: Job 26 finished at workstation s5-2 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,273 - DEBUG  - 16.00: Job 27 is released with routing: ['s5-2', 's4-1', 's2-1'], process_times: [2.148 0.933 1.165]
2024-08-26 22:20:41,274 - DEBUG  - 16.60: Job 27 is being processed at the workstation s5-2.
2024-08-26 22:20:41,299 - DEBUG  - 23.36: Job 27 is being processed at the workstation s4-1.
2024-08-26 22:20:41,306 - DEBUG  - 25.78: Job 27 is being processed at the workstation s2-1.
2024-08-26 22:20:41,310 - DEBUG  - 26.95: Job 27 finished at workstation s2-1 and is transported to the warehouse output-warehouse
2024-08-26 22:20:41,277 - DEBUG  - 17.94: Job 28 is released with routing: ['s2-1', 's3-1', 's1-1', 's4-1', 's5-1'], process_times: [0.692 1.888 0.742 0.584 1.3  ]
2024-08-26 22:20:41,283 - DEBUG  - 18.94: Job 28 is being processed at the workstation s2-1.
2024-08-26 22:20:41,289 - DEBUG  - 20.62: Job 28 is being processed at the workstation s3-1.
2024-08-26 22:20:41,307 - DEBUG  - 25.96: Job 28 is being processed at the workstation s1-1.
